Database,Table,Column
SalesDB,Customers,name
OrdersDB,Shipping,estimated_delivery
ProductDB,Reviews,rating
CustomerDB,Subscriptions,subscription_id
CustomerDB,Profiles,subscription_level
OrdersDB,OrderDetails,product_id
OrdersDB,OrderDetails,order_detail_id
CustomerDB,Profiles,created_at
FinanceDB,Accounts,balance
InventoryDB,Stock,stock_id
CustomerDB,Profiles,user_id
FinanceDB,Budgets,budget_id
ProductDB,Products,category
HRDB,Salaries,employee_id
InventoryDB,Warehouses,manager
CustomerDB,Stock,rating
OrdersDB,Payments,amount
HRDB,Departments,name
HRDB,Employees,position
HRDB,Employees,employee_id
HRDB,Departments,department_id
InventoryDB,Warehouses,capacity
SalesDB,Orders,order_date
ProductDB,Reviews,review_text
InventoryDB,Suppliers,name
SalesDB,Invoices,order_id
OrdersDB,Payments,payment_id
FinanceDB,Budgets,spent_funds
OrdersDB,OrderDetails,quantity
CustomerDB,Subscriptions,user_id
FinanceDB,Accounts,holder_name
HRDB,Salaries,tax
InventoryDB,Warehouses,location
ProductDB,Categories,name
CustomerDB,Stock,user_id
FinanceDB,Transactions,date
ProductDB,Categories,category_id
FinanceDB,Accounts,account_id
InventoryDB,Stock,warehouse_id
HRDB,Salaries,salary_amount
ProductDB,Reviews,product_id
ProductDB,Products,product_id
SalesDB,Invoices,amount_due
OrdersDB,Shipping,shipping_id
FinanceDB,Transactions,account_id
CustomerDB,Stock,Stock_id
CustomerDB,Subscriptions,plan
FinanceDB,Accounts,type
OrdersDB,Shipping,status
SalesDB,Invoices,invoice_id
OrdersDB,Payments,order_id
OrdersDB,OrderDetails,order_id
SalesDB,Customers,customer_id
ProductDB,Reviews,review_id
OrdersDB,Payments,payment_date
ProductDB,Products,price
SalesDB,Customers,phone
InventoryDB,Suppliers,contact
CustomerDB,Subscriptions,status
HRDB,Salaries,bonus
HRDB,Employees,name
FinanceDB,Transactions,transaction_id
SalesDB,Invoices,due_date
ProductDB,Products,name
InventoryDB,Stock,product_id
OrdersDB,Shipping,order_id
ProductDB,Categories,description
HRDB,Departments,head
CustomerDB,Profiles,profile_id
SalesDB,Orders,total_price
SalesDB,Orders,customer_id
FinanceDB,Budgets,department_id
InventoryDB,Stock,quantity
InventoryDB,Suppliers,supplier_id
SalesDB,Customers,email
InventoryDB,Suppliers,city
SalesDB,Orders,order_id
HRDB,Employees,salary
HRDB,Departments,location
ProductDB,Categories,created_at
FinanceDB,Budgets,allocated_funds
InventoryDB,Warehouses,warehouse_id
FinanceDB,Transactions,amount
CustomerDB,Stock,comments
